stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
SvGtXrYj, ,Power House Kodambakkam, 13.051853546689694, 80.22030329254619, 0,
EarJIhnU, ,M M D A Petrol Bunk, 13.068830855419106, 80.21502999025518, 0,
FyoAuDvn, ,Little Mount , 13.015597546918361, 80.2250649963828, 0,
owaezQrq, ,Keezhur Thennanthope, 12.737009265938582, 80.110844270504, 0,
YBasMniA, ,Prince College, 12.9221793328932, 80.16396133867363, 0,
dycwBUSP, ,Kadapakkam, 13.192529488718465, 80.26287473491766, 0,
QgJihzqk, ,Anjugam Nagar, 12.94025169915463, 80.08514264784752, 0,
NPqatCDm, ,Ashok Nagar 11th Avenue, 13.031686773851705, 80.21258520829747, 0,
WuDSdBCd, ,Kathirvedu, 13.149693704598002, 80.20417815413657, 0,
HJijptKA, ,Thiruporur Kovil, 12.729914446503047, 80.18895353175196, 0,
tGqVborR, ,Nethaji Super Market, 13.134883385412573, 80.28051247669714, 0,
KnrJQtxg, ,Kaivandur, 13.148332408545294, 79.86521345516462, 0,
oKYmiVLf, ,Pandmashashathri Or City Union Bank, 13.04104818707814, 80.19925889909962, 0,
eJfPkird, ,Varadharajapuram, 13.05432892926722, 80.08126919066581, 0,
VwYVTziR, ,Jaya Suriya Engineering College, 13.213437815087422, 80.06910973424556, 0,
jFmPCmzM, ,Pachaiyappas College, 13.076071157008514, 80.23465094093217, 0,
zYpZYpOA, ,Sayani Theatre Aynavaram, 13.09769311585696, 80.23975016274903, 0,
CrEPfbyi, ,Anthiur Palayam, 13.153568082375866, 80.01367267951673, 0,
jLJTMrwU, ,Gosha Or Kasthuribai Hospital, 13.060663975742921, 80.27760342284205, 0,
tSmiUoPn, ,Pattalam, 13.096971690917359, 80.25915645809255, 0,
vISVJoyz, ,Pattalam, 13.097456624475198, 80.25796924532733, 0,
GZZaPhbw, ,Ondikuppam, 13.154132614739973, 80.30421758218176, 0,
SEjojzMr, ,Guru Nanak College, 12.990783918859547, 80.22023578275683, 0,
WblAIghg, ,Madhavaram PUO, 13.148063981721174, 80.23089366391002, 0,
iEKuRfDT, ,Periyar Salai, 13.053403245630598, 80.23682363671765, 0,
gfzrAVDi, ,Vel Medical College, 13.273421926182985, 80.11516498834321, 0,
hclxEtFC, ,Guindy Metro Station, 13.009255253592544, 80.21305426533557, 0,
gyedwqXM, ,Moorthy Nagar, 13.102685813381397, 80.10836870062587, 0,
qzuHypgA, ,Retteri Junction, 13.129944301006555, 80.21356233853373, 0,
ghPxjXOK, ,Vilambakkam, 13.220799933700766, 79.97407421005755, 0,
dfuItkqX, ,San Academy, 12.975999732854186, 80.21233859478332, 0,
mBHqYPzb, ,Thulakkanathamman Koil Muthaiah Street, 13.050575230120305, 80.27423423472794, 0,
jKMBgxbE, ,Lakshmi Amman Koil, 13.116482613064795, 80.2424346650123, 0,
BsVmblhs, ,Ajantha, 13.04700741148808, 80.2664563718863, 0,
UxEHDofF, ,Melur, 13.257324031950928, 80.27504959340422, 0,
lBopHXdD, ,Kasimedu, 13.124597618773638, 80.29436694298897, 0,
vQqKfyzC, ,Chinna Madiyoor, 13.269258300613783, 80.24093900085904, 0,
kpWRWDUl, ,Siva Garden, 13.151213579620133, 80.13201967943905, 0,
PxQNjmHA, ,Virugambakkam Kolam, 13.011028837699987, 80.13767460543049, 0,
oQmOaQyB, ,Kattur, 12.73487792263536, 80.13781597165257, 0,
AjJCgCBk, ,Taylors Road, 13.07657683, 80.23737175, 0,
