fare_id,route_id,origin_id,destination_id
F3, ,SCC,STE
F3, ,SHC,STE
F3, ,SMA,STE
F3, ,SWA,STE
F3, ,SSI,STE
F3, ,SAN,STE
F3, ,SVA,STE
F4, ,SAR,STE
F4, ,SCM,STE
F4, ,SKO,STE
F4, ,STI,STE
F4, ,SAT,STE
F4, ,SAE,STE
F4, ,SSN,STE
F3, ,SPC,STE
F3, ,SKM,STE
F3, ,SNP,STE
F3, ,SEG,STE
F3, ,SMM,STE
F3, ,STC,STE
F4, ,STR,STE
F4, ,SNW,STE
F4, ,STG,STE
F4, ,SKP,STE
F4, ,STT,STE
F4, ,STV,STE
F4, ,SWN,STE
F4, ,SAP,SGM
F3, ,SME,SGM
F3, ,SOT,SGM
F3, ,SAL,SGM
F3, ,SGU,SGM
F2, ,SLM,SGM
F2, ,SSA,SGM
F1, ,SCR,SGM
F1, ,STE,SGM
F0, ,SGM,SGM
F1, ,STL,SGM
F2, ,SLI,SGM
F2, ,SGE,SGM
F3, ,SCC,SGM
F3, ,SHC,SGM
F3, ,SMA,SGM
F3, ,SWA,SGM
F3, ,SSI,SGM
F3, ,SAN,SGM
F4, ,SVA,SGM
F4, ,SAR,SGM
F4, ,SCM,SGM
F4, ,SKO,SGM
F4, ,STI,SGM
F4, ,SAT,SGM
F4, ,SAE,SGM
F3, ,SSN,SGM
F3, ,SPC,SGM
F3, ,SKM,SGM
F3, ,SNP,SGM
F3, ,SEG,SGM
F3, ,SMM,SGM
F3, ,STC,SGM
F3, ,STR,SGM
F4, ,SNW,SGM
F4, ,STG,SGM
F4, ,SKP,SGM
F4, ,STT,SGM
F4, ,STV,SGM
F4, ,SWN,SGM
F4, ,SAP,STL
F4, ,SME,STL
F3, ,SOT,STL
F3, ,SAL,STL
F3, ,SGU,STL
F3, ,SLM,STL
F3, ,SSA,STL
F2, ,SCR,STL
F2, ,STE,STL
F1, ,SGM,STL
F0, ,STL,STL
F1, ,SLI,STL
F1, ,SGE,STL
F2, ,SCC,STL
